OBJECTID;MarkeID;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
1659702;1;4.3;3.8;4.5;4.2;4.3;4;4.1;4.4;4.5;4.2;3.9;4;3;3.8;3.9;3.9;3.9;3.6;3.4;3.9;4.7
1767659;2;3.85;3.65;3.95;3.75;3.85;3.8;3.75;3.85;3.7;3.75;3.75;3.75;3.25;3.5;3.65;3.2;3.5;3.35;3.2;3.6;4
1954763;3;4.5;4.166666667;4.266666667;3.833333333;4.033333333;4.033333333;4.033333333;4.333333333;4.166666667;4.033333333;3.833333333;3.166666667;2.966666667;3.8;4.233333333;3.5;3.9;3.3;3.5;3.733333333;4.766666667
1758021;4;4.766666667;4.633333333;4.633333333;4.5;4.366666667;4.4;4.433333333;4.633333333;4.7;4.466666667;4.533333333;3.666666667;3.633333333;4.633333333;4.733333333;3.833333333;4.466666667;3.966666667;3.966666667;4.366666667;5.466666667
1561574;5;4.9;4.566666667;4.6;4.2;4.433333333;4.7;4.8;4.766666667;4.6;4.733333333;4.533333333;3.866666667;3.966666667;3.266666667;4.8;4.266666667;4.233333333;4.333333333;4.333333333;4.566666667;4.9
1954508;6;4.9;4.6;4.75;4.7;4.7;4.5;4.35;4.95;4.75;4.45;4.85;3.7;3.4;4.55;4.4;4.2;4.5;4.15;3.8;4;4.55
1758449;7;4.85;4.65;4.6;4.45;4.55;4.5;4.6;5;4.5;4.7;4.55;3.65;3.6;4.45;4.5;4.45;4.4;4.4;4;4;4.35
1811529;8;4.166666667;3.933333333;4.133333333;4;4.133333333;4;4;4.266666667;4;4.2;4.233333333;3.566666667;3.4;4.166666667;4.533333333;3.633333333;4.066666667;3.833333333;3.566666667;3.766666667;4.166666667
1561309;9;5.65;5.45;5.65;5.25;5.6;5.55;5.45;5.6;5.6;5.35;5.9;4.25;5.1;5.55;5.65;5.3;5.35;4.3;5.15;5;5.6
1758022;10;5.325;5.125;5.275;5.025;4.875;4.925;4.925;5.1;5.15;5.125;5.125;4.175;4;4.9;5.6;4.575;4.85;3.825;4.525;4.475;5.15
2248400;11;5.3;5.05;5.2;4.9;4.9;5;4.95;5.25;5.25;5.3;5.15;4.35;4.4;5.25;5.5;5;4.95;3.45;4.45;4.8;5.2
1561575;12;5.1;4.8;5.15;4.5;4.5;5.05;4.5;4.55;4.5;4.7;4.5;4;3.9;4.55;5;4.45;4.7;4.4;4.45;4.1;4.5
1758450;13;5.7;5.4;5.6;4.95;5.4;5.25;5.25;5.35;5.3;5.3;5.2;4.45;4.3;4.4;6.1;4.75;5.1;4.55;4.75;4.6;5.05
1659980;14;5.4;5.2;5.6;4.6;5.1;4.9;5.1;5.2;5.4;5.2;5.5;4.4;4.2;5.1;7;4.8;5.3;4.7;4.7;5.3;5.2
1855990;15;5.5;5.266666667;5.533333333;5.3;5.733333333;5.033333333;5.1;5.233333333;5.166666667;5.166666667;5.433333333;4.466666667;4.733333333;5.4;6.2;5.066666667;5.1;4.533333333;4.933333333;5.133333333;5.3
2248693;16;4.15;4.05;4.05;4;3.75;4.35;4.3;4.15;4.25;4.05;4.05;3.4;3.4;4.3;4.45;3.65;4.1;3.6;3.65;4.15;4.1
2150685;18;;;;;4.466666667;4.533333333;4.433333333;4.633333333;4.6;4.633333333;3.9;3.533333333;3.533333333;4.5;5.2;4.2;4.266666667;4.133333333;4.033333333;4.2;4.333333333
1659981;19;3.966666667;3.8;4.033333333;3.866666667;3.733333333;3.966666667;3.9;4.066666667;3.966666667;3.833333333;3.433333333;3.933333333;3.266666667;3.866666667;4;3.2;3.5;3.233333333;3.5;3.966666667;3.6
1954762;20;5.775;5.5;5.15;5;5.025;5.175;5.225;5.25;5.025;5.25;4.95;4.325;4.25;4.7;5.475;4.6;4.65;4.2;4.75;4.575;4.725
1877174;21;3.35;3.2;3.15;3.3;3.1;3;2.9;3.1;2.6;2.95;2.85;2.9;3;3.6;3.25;2.95;2.9;2.3;2.9;3.2;3
1561573;22;4.55;4.5;4.4;4.15;4.05;4.05;4.15;4.75;4.15;4.05;4.05;4.05;3.75;4.5;4.45;4.1;3.95;3.45;3.7;4.1;4.4
1855989;23;;;;;4.2;4;3.933333333;4.233333333;4.3;4.366666667;3.733333333;3.833333333;3.5;4.2;5.333333333;4.1;4.333333333;3.933333333;3.866666667;3.733333333;4.2
2293990;17-I;4.75;4.35;4.45;4.133333333;4.233333333;4.4;4.233333333;4.5;4.666666667;4.233333333;4;3.833333333;3.5;4.8;5.466666667;4.033333333;4.266666667;3.266666667;3.8;4.033333333;4.233333333
1758020;17-II;4.2;3.966666667;4.066666667;4;4.15;3.8;4.15;4.25;4.45;3.95;3.75;4.45;3.7;4.95;4.1;4;4.1;3.35;4.45;4.25;4.4
1669668;k1;3.95;3.9;3.7;3.6;3.9;4.2;3.7;3.45;3.6;3.8;3.65;3.35;3;3.95;3.85;3.65;3.95;3.75;3.9;3.5;4
1767973;K2;3.95;3.45;3.7;3.45;3.45;3.55;3.45;3.45;3.4;3.6;3.55;3.5;2.75;3.3;3.9;3.2;3.3;3.55;3.35;3.35;3.55
2150397;K3;6.2;5.85;6.35;6;5.966666667;5.333333333;5.733333333;5.8;5.966666667;5.7;5.6;5.266666667;4.666666667;6.033333333;6.7;5.833333333;5.533333333;4.833333333;5.3;5.5;5.866666667
